row,col,reseller_id,time_4y,time_phys,deviation
869,558,2401,106.133575,106.49461928005154,-0.36104384059841266
821,662,828,252.11664,245.31320281908683,6.8034353645069245
429,433,1759,791.439,783.2379441430049,8.201081735901312
143,1028,2262,1282.8798,1311.523497021371,-28.643736279183486
198,698,2236,392.49527,380.9064739968723,11.588795778518318
710,76,1220,166.27046,166.2704685112769,-6.4751440902455215e-06
473,363,1759,938.2636,938.0739351115407,0.18967572830308654
134,1096,2275,1490.932,1490.9338321538783,-0.0018253179407565767
44,315,2332,796.05853,815.5574519288662,-19.498919214022408
556,557,1531,12.0,12.0,0.0
250,1089,2262,707.7383,724.3348771944884,-16.5965959444884
447,906,1801,425.85992,422.7332422368153,3.126682079590978
292,205,2064,137.8417,132.46137809753418,5.380327224731445
739,350,1130,147.26576,146.76765093677864,0.4981113923229259
716,784,1401,549.56824,553.463748942286,-3.8955116375984744
76,1005,2312,1208.6234,1209.5583413249058,-0.9349282389682685
224,841,2255,379.5904,379.6706050018944,-0.08021193548813699
176,415,2123,525.19885,492.6302032625882,32.568649276474275
274,741,2088,237.87582,236.47671094155095,1.399113033058427
123,1083,2275,1687.7213,1687.7176799204071,0.0036335561553642037
608,1035,1577,210.74852,198.64525699164358,12.10326290581736
273,501,2136,751.8368,733.5470957587467,18.28969623344085
720,270,1329,192.29486,191.37187088859798,0.9229899512457678
246,752,2781,79.08322,77.75550288723399,1.3277185483128875
131,1086,2275,1576.8097,1576.8059912324336,0.0037011503789017297
520,744,2479,86.011314,84.56496994349384,1.4463444485960082
601,392,1340,791.234,755.769089563459,35.46491922560347
129,447,2129,934.3933,924.2947892066868,10.0985213401882
590,1091,1579,469.97153,470.3927921235668,-0.4212650239574032
367,661,1946,382.81918,380.88217856515814,1.9370047844512328
426,828,2003,153.05363,153.23874457499988,-0.18510993144519716
212,457,2289,266.07196,244.5173483211644,21.554612128054345
584,916,1571,244.97832,235.1808623462441,9.797454914498076
679,985,1568,1123.021,1123.09826114475,-0.07726505100004033
282,392,2065,489.349,476.0834063681857,13.265592655251794
407,104,2410,350.0937,349.91472784313225,0.17896112171149525
293,525,2136,308.41434,296.6373895487755,11.776947609427623
314,857,2006,570.0727,572.37431508557,-2.301622214476197
690,453,1346,0.0,0.0,0.0
106,1108,2275,1767.2853,1767.2870774019855,-0.0017990816729707149
318,792,1965,349.5401,347.08052969588,2.4595704017762614
554,627,1561,205.60695,205.12085070602706,0.4860981465120062
689,447,2454,28.970564,29.075388869501854,-0.10482498095204917
424,605,1771,557.3742,560.1477807783311,-2.773574235362389
456,713,2741,178.5251,167.4620083596042,11.063092348403615
288,783,2097,126.38116,108.69843905548835,17.68271786589837
219,626,2146,197.6744,196.4802321221164,1.1941605780789075
634,713,1564,623.70624,619.7721238283444,3.9341139646243164
127,812,2310,613.5527,606.4524625500243,7.100210789819471
787,653,1198,321.14694,308.17844079680145,12.968501341870422
385,1177,1848,1006.56445,982.6891446711048,23.875308453895173
351,288,1849,656.38184,656.381820815813,1.5121687056307564e-05
769,395,1154,16.970562,16.97056289599111,-9.147899397987658e-07
578,843,1565,837.30273,840.1171289790706,-2.8143946040705714
515,934,1801,732.25385,737.7486923014308,-5.494847086587015
393,828,2003,298.38513,292.14842607166173,6.236705764275769
386,832,2003,398.8441,399.2641279340333,-0.42004224067392215
105,264,2326,222.287,221.15946112069628,1.1275414427802843
341,293,1849,751.61304,751.5290063358572,0.0840307735178385
665,671,1400,231.64575,231.0045000194267,0.6412519336982996
549,68,1407,625.4024,625.4277846809881,-0.025379895831861177
476,286,1589,645.324,644.0961750002432,1.2277996091318073
168,491,2127,655.0198,619.9685661771574,35.05120921346759
476,1060,1844,517.00934,515.8842709611472,1.1250674177590554
580,1096,1581,546.10986,538.1895503220115,7.9203129592384585
887,479,2,28.970564,28.97056289599111,9.925586930137342e-07
667,696,2696,662.2571,662.0240777146302,0.2330023634948475
1045,593,231,140.50015,127.70437614293436,12.79577644495626
553,126,1409,289.18396,287.15844838025384,2.0255115806836557
111,509,89,564.77936,548.0370782723853,16.742279637770935
229,698,2233,87.103905,81.94112579198222,5.1627789321388775
446,607,1771,307.49796,303.10116362713677,4.396791695128854
317,453,1936,1434.8706,1408.921988835773,25.948616632977064
454,336,1850,817.89777,816.695510252388,1.202255860893274
126,1165,2275,1261.9707,1261.8037497027772,0.16695342222283216
219,1005,2262,568.2575,587.782137143197,-19.52462981897827
727,892,1219,1207.9503,1203.1590955156132,4.791221867199283
573,64,1407,349.13718,349.4648912874515,-0.32771477377963265
528,684,2407,312.98425,312.28280619219225,0.701446737495246
730,695,1210,98.46317,90.82832591591989,7.634846996677766
896,580,549,77.11635,77.1163491813915,-9.147899362460521e-07
229,1144,2267,226.96065,233.6884738899155,-6.727826306907701
640,216,1463,158.13661,158.20950294230255,-0.0728910038259869
336,382,2065,583.5773,584.1720417184298,-0.5947712106172958
435,449,1759,774.922,765.0061117209683,9.915885349344194
135,520,2411,330.06638,328.65477647289913,1.4115992595227453
730,200,979,81.941124,81.94112579198222,-1.8295798724921042e-06
30,296,2329,756.36017,756.8940729378215,-0.5339044807902837
946,366,311,36.0,36.0,0.0
347,522,1936,304.2073,298.81691652244876,5.390389385754361
600,734,1564,396.01965,394.8299462183219,1.1897071019906207
722,694,1210,177.58774,176.57896434714303,1.0087736899663469
169,185,2287,185.01566,178.8669633537087,6.148692163869413
551,807,1698,279.45468,266.7856332583755,12.669048138108849
528,1038,1719,356.18317,344.8952195772548,11.287946926651443
242,839,2255,168.2836,162.1124971479275,6.171102705588112
508,558,1765,464.6329,453.2011910071579,11.431713045576487
876,585,552,363.94254,353.9247351440215,10.017800256369128
522,183,1758,986.6037,981.5893499658679,5.014348764600868
683,692,2696,518.88086,519.6129675001403,-0.7321081251402575
546,216,2403,660.7054,663.565398353325,-2.8600150525437584
672,601,2696,818.4795,808.4379010054862,10.041591182013804
501,425,1760,165.65018,139.84590904088358,25.80426796106954
246,568,2133,297.06415,287.2474383708741,9.816709578344671
339,208,5,312.23654,308.73506606392004,3.501475684126831
704,831,1401,151.51886,151.36578671391644,0.15307314936481475
627,759,1402,503.72217,493.58561820058054,10.13654976816946
310,286,2068,534.2599,533.526160561265,0.7337271340475127
509,482,2503,392.59525,379.4737356363712,13.121509724956923
679,362,1341,291.6803,290.60569400261375,1.0746038489487546
15,311,2398,195.09964,194.83545735978143,0.26418253279669557
513,940,1801,811.7046,812.6603809894042,-0.9557911456541888
488,404,1760,297.7763,292.02540376765637,5.750902384687379
367,815,1965,460.43753,462.7699062381126,-2.3323757205344577
720,447,1175,47.576023,40.97056289599111,6.6054602058155325
540,560,2729,219.67235,219.43850869366412,0.2338393287968188
777,276,1040,261.82202,246.135436150048,15.686585334326992
739,265,1049,122.86647,128.6521232776068,-5.785652940692728
739,818,1401,583.48157,588.5184637179116,-5.0368963350990725
372,1200,1848,1385.2567,1368.8010565677926,16.455657299394943
895,510,558,46.11621,24.0,22.1162109375
792,286,1040,513.0915,497.27331991964957,15.818171779569184
303,796,2099,291.8741,223.91282064889546,67.96129434133891
188,831,2310,399.34747,387.52452710464985,11.822946039881401
483,713,2409,241.09933,229.84273734650307,11.256597370293804
919,522,556,74.91169,77.50431256145049,-2.592622803149709
558,925,1572,563.4184,550.9850985370316,12.433297459062146
199,1127,2267,579.021,588.7002236259352,-9.679227532185223
404,549,1945,199.52026,191.70271474254238,7.817548929332617
523,895,1801,746.305,740.0528805389926,6.252112136788696
389,358,1856,563.1538,563.1250823506944,0.028726243055643863
350,653,1951,478.33093,481.1202008654182,-2.7892682482307123
272,442,2289,1312.8691,1264.9939953745088,47.87514525049119
106,512,89,487.2552,470.7539331314812,16.501254856800074
137,877,2310,959.29614,951.8076640244983,7.488478553626692
418,1162,1848,624.60504,600.6090423944119,23.99599910949439
795,722,1208,198.32108,212.03920134661277,-13.718125907159646
172,1168,2275,697.8588,697.8588008491772,2.4834416535668424e-05
761,326,1124,31.256735,57.51060469121356,-26.253869843191097
694,420,1389,298.49133,293.2251297217219,5.266203286090615
343,376,2065,639.83295,640.4277325263821,-0.5947857490383512
637,677,1555,395.742,397.53921998906856,-1.797215594537306
835,77,605,0.0,0.0,0.0
667,659,1400,145.0695,144.92491912841797,0.14458465576171875
417,876,1798,380.11142,372.99738257250726,7.114037105227112
272,713,2242,123.47072,109.5705612438675,13.90015713992156
59,959,2312,989.3363,982.1530282712781,7.183275439659383
217,519,2131,513.76105,501.05856383889693,12.70248352438432
712,604,1190,614.71423,605.3207694577159,9.393463940721631
380,789,1983,60.0,60.0,0.0
312,1224,2271,615.227,613.4248320523243,1.802157693769459
934,544,33,165.50099,165.65017753648465,-0.14918571519558554
776,555,1188,67.49542,62.99492347496064,4.500498888320607
143,155,2276,425.60107,429.33224207804807,-3.7311678592980684
426,303,1849,378.58948,378.4643094590766,0.1251680799858832
238,225,2283,934.9776,925.8856881765727,9.091911921083579
763,46,865,192.7974,187.6188640445414,5.178529754286728
254,271,2102,752.25146,744.4713838736128,7.780080970137192
776,669,1198,56.683735,53.032626113154194,3.651108780644634
1012,471,349,16.970562,16.97056289599111,-9.147899397987658e-07
533,700,2407,160.61295,157.50390163895884,3.109043917681788
740,582,1190,393.0785,393.4956333804773,-0.41714216953977257
867,370,403,140.88895,143.06189904081984,-2.1729525076167135
715,228,1021,52.232456,52.23245765064938,-1.443373989218344e-06
746,79,861,197.8898,197.54926629330402,0.3405347320866099
288,738,2088,380.06378,378.02351948227505,2.0402622560062014
794,943,1218,143.36867,143.07443757584255,0.29423002669651055
752,768,1200,542.33405,541.8042427594448,0.5298026507114173
442,975,1832,354.15985,354.62703142861807,-0.4671803543993178
422,961,2053,174.58614,169.50854598939605,5.077589874861758
474,362,1759,952.14795,950.0168195150889,2.131129703661145
954,431,338,669.435,673.452897316483,-4.017899757889268
813,589,559,562.31244,550.5558132838707,11.756625680973002
410,834,2003,69.941124,69.94112579198222,-1.8295798724921042e-06
469,1097,1845,205.25691,195.21896214981774,10.03795008162757
736,149,950,79.20577,59.17779251024892,20.027979889653423
179,349,2102,1125.3849,1103.735851799635,21.64903589567757
